otu	MP0144	MP0145	MP0261	MP0262	MP0326	MP0327	MP0371	MP0372	MP0440	MP0441	MP0555	MP0556	MP0626	MP0627	MP0739	MP0740	MP0758	MP0759	MP0900	MP0901	MP0959	MP0960	MP1091	MP1092	MP1140	MP1141	MP1201	MP1202	MP1241	MP1242	MP1373	MP1374	MP1434	MP1435	MP1482	MP1483	MP1493	MP1494	MP1604	MP1605	MP1648	MP1649	MP1787	MP1788	MP1896	MP1897	MP2015	MP2016	MP2052	MP2053	MP2158	MP2159	MP2252	MP2253	MP2497	MP2498	MP2633	MP2634	MP2913	MP2914	chimera.uchime	chimera.slayer	RDP_Domain	RDP_Domain_conf	RDP_Phylum	RDP_Phylum_conf	RDP_Class	RDP_Class_conf	RDP_Order	RDP_Order_conf	RDP_Family	RDP_Family_conf	RDP_Genus	RDP_Genus_conf	SILVA_Taxonomy	evalue	match
10	3980	3	995	180	550	49	58	4	3296	64	959	21	815	45	805	17	160	9	38	2	26	4	8	1	0	0	4	0	1	0	0	0	1	3	7	0	3	0	1	0	3	3	4	0	90	1	2	5	2	0	1	1	0	0	1	0	3	1	6	0	N	N	Bacteria	100	Proteobacteria	100	Gammaproteobacteria	100	Pseudomonadales	100	Moraxellaceae	100	Acinetobacter	100	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;uncultured prokaryote	4e-140	9558
11	8	400	1	226	3	126	4	209	2	169	2	108	4	97	2	274	20	497	0	134	5	96	14	226	2	40	5	307	4	206	5	193	27	226	10	443	2	186	4	68	4	197	4	181	1	116	5	205	10	362	15	383	1	422	2	170	9	208	21	50	N	N	Bacteria	100	Firmicutes	15	Clostridia	11	Clostridiales	11	Syntrophomonadaceae	0	Syntrophothermus	0	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;SAR406 clade(Marine group A);uncultured bacterium	4e-140	69911
12	38	268	26	303	37	239	89	500	9	173	40	301	22	239	37	194	47	141	10	37	8	109	86	266	21	36	75	291	34	204	24	113	48	174	29	231	18	184	15	212	17	189	4	179	26	199	50	381	53	368	44	145	1	143	19	253	38	452	22	7	N	N	Bacteria	100	Deferribacteres	18	Deferribacteres	18	Deferribacterales	18	Deferribacteraceae	18	Calditerrivibrio	17	Bacteria;Chloroflexi;SAR202 clade;uncultured bacterium	6e-136	78268
13	44	158	7	33	8	27	12	12	23	198	0	2	9	22	43	239	185	860	14	114	10	42	43	128	10	43	46	225	19	49	35	150	300	582	128	228	41	115	22	67	17	70	15	52	8	20	13	38	32	104	131	248	17	248	10	38	18	15	2	0	N	N	Bacteria	100	Actinobacteria	97	Actinobacteria	97	Acidimicrobiales	88	Acidimicrobineae_incertae_sedis	47	Aciditerrimonas	47	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Sva0996 marine group;uncultured bacterium	1e-140	94706
14	30	29	36	48	482	154	217	72	154	166	31	27	48	22	6	8	38	26	145	216	109	101	230	113	107	8	323	68	425	104	102	36	114	13	25	9	23	5	9	3	3	1	1	2	1	0	6	1	7	0	284	164	88	395	29	169	10	17	36	130	N	N	Bacteria	100	Proteobacteria	100	Gammaproteobacteria	100	Pseudomonadales	92	Pseudomonadaceae	92	Pseudomonas	89	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. E505-11	4e-140	8513
16	2	0	29	7	59	45	167	23	37	60	217	14	481	22	97	23	84	16	509	168	268	51	248	57	110	10	419	23	159	24	358	34	276	6	230	13	470	23	775	30	261	25	398	34	575	83	456	35	287	20	77	1	25	16	222	46	1004	29	133	50	N	N	Bacteria	100	Proteobacteria	100	Alphaproteobacteria	100	Rhodobacterales	100	Rhodobacteraceae	100	Phaeobacter	98	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Marinovum;Marinovum algicola	4e-140	99569
17	2	64	3	130	3	166	3	284	4	125	2	188	2	215	5	275	9	219	0	30	2	123	6	143	4	72	1	254	5	186	1	165	5	120	10	231	5	202	2	135	0	161	3	143	2	122	3	224	7	272	17	218	2	201	0	145	14	212	33	32	N	N	Bacteria	100	Acidobacteria	25	Acidobacteria_Gp3	24	Bryobacter	24	Bryobacter	24	Bryobacter	24	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;SAR406 clade(Marine group A);uncultured bacterium	4e-140	84853
18	98	126	399	21	17	13	91	39	4	6	24	30	190	90	56	3	106	11	86	39	52	7	75	13	65	3	232	6	345	6	74	9	140	1898	77	3	37	16	21	1	56	10	14	8	32	2	15	54	51	42	39	51	7	11	22	87	115	35	20	60	N	N	Bacteria	100	Cyanobacteria/Chloroplast	100	Cyanobacteria	99	Family XIII	76	Family XIII	76	GpXIII	76	Bacteria;Cyanobacteria;SubsectionIII;Microcoleus;Microcoleus chthonoplastes PCC 7420	4e-140	79218
20	14	0	5	2	43	2	32	0	2215	9	271	1	133	3	147	3	137	2	29	2	9	2	16	0	2	0	8	0	3	0	0	0	1	0	6	0	0	0	3	0	12	6	20	0	3	0	7	1	94	4	138	1	5	1	53	8	10	0	3	0	N	N	Bacteria	100	Proteobacteria	100	Gammaproteobacteria	100	Pseudomonadales	100	Moraxellaceae	100	Psychrobacter	100	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;Psychrobacter sp. ARCTIC-P41	4e-140	69669
21	19	16	984	543	233	84	51	28	86	426	111	86	32	58	75	63	121	70	12	92	70	20	39	26	21	6	25	13	40	42	21	22	39	37	114	47	22	21	41	113	36	22	67	78	48	52	29	15	18	7	19	10	44	40	11	15	42	35	49	44	N	N	Bacteria	100	Proteobacteria	100	Gammaproteobacteria	100	Alteromonadales	100	Alteromonadaceae	100	Marinobacter	100	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Marinobacter;bacterium N159G.619	4e-140	86505
22	2	0	7	0	73	0	9	0	49	0	11	0	11	0	10	0	36	0	35	2	38	2	72	1	64	0	119	0	98	2	39	3	76	2	123	3	100	1	57	2	240	5	368	3	427	4	742	4	1133	21	1167	18	75	6	147	5	325	7	26	0	N	N	Bacteria	100	Proteobacteria	100	Gammaproteobacteria	100	Pseudomonadales	100	Moraxellaceae	100	Psychrobacter	100	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;uncultured gamma proteobacterium	4e-140	96433
24	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	2	0	14	1	9	6	7	3	50	22	19	10	79	46	89	7	926	5	195	3	640	2	695	4	282	3	408	1	169	0	482	0	82	0	64	3	519	21	56	7	56	1	N	N	Bacteria	100	Firmicutes	48	Negativicutes	21	Selenomonadales	21	Veillonellaceae	21	Sporolituus	15	Bacteria;Cyanobacteria;SHA-109;uncultured bacterium	4e-128	98022
25	5	454	1	44	0	13	2	49	2	112	0	7	2	27	4	262	35	426	2	113	1	20	2	183	2	45	5	211	1	45	2	95	21	134	1	184	2	143	1	93	2	49	2	110	0	20	0	71	3	183	34	176	2	390	0	37	0	26	1	1	N	N	Archaea	94	Euryarchaeota	93	Methanomicrobia	37	Methanosarcinales	37	Methermicoccaceae	25	Methermicoccus	25	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;uncultured euryarchaeote	4e-140	55928
26	5	0	0	0	0	0	0	0	0	0	2	0	4	0	6	2	44	0	10	0	18	0	10	1	6	0	20	1	6	0	39	1	20	4	51	3	176	0	136	15	273	27	236	25	177	36	180	49	212	76	670	28	52	39	694	47	373	7	51	0	N	N	Bacteria	100	Actinobacteria	100	Actinobacteria	100	Actinomycetales	100	Mycobacteriaceae	100	Mycobacterium	100	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;uncultured;uncultured bacterium	4e-140	7523
27	6	45	1	4	0	1	1	3	2	24	1	3	1	7	10	75	10	48	0	12	0	5	4	24	14	26	0	32	0	25	4	47	13	35	10	68	6	65	2	13	2	37	2	31	2	7	3	16	11	32	24	112	10	175	0	3	0	3	0	2	N	N	Bacteria	100	Proteobacteria	99	Gammaproteobacteria	96	Oceanospirillales	23	Hahellaceae	17	Zooshikella	17	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;ZD0405;uncultured bacterium	6e-133	98664
28	42	70	38	101	30	122	98	162	18	68	25	163	29	112	42	76	41	42	14	2	18	58	72	105	53	26	102	120	54	73	23	46	44	56	46	75	20	91	16	59	13	87	15	61	19	100	59	209	56	148	46	22	3	63	14	96	67	176	88	3	N	N	Bacteria	99	Firmicutes	37	Clostridia	33	Thermoanaerobacterales	22	Thermoanaerobacteraceae	21	Desulfovirgula	17	Bacteria;Chloroflexi;SAR202 clade;uncultured Chloroflexi bacterium	6e-136	2114
29	0	0	0	0	0	0	0	0	0	0	28	2	5	0	3	0	60	0	15	4	120	2	75	22	498	121	455	44	92	12	328	11	221	20	187	2	58	0	56	1	207	0	86	2	86	0	24	0	1	0	3	1	3	0	6	1	5	1	0	0	N	N	Bacteria	100	Bacteroidetes	100	Sphingobacteria	100	Sphingobacteriales	100	Saprospiraceae	100	Lewinella	100	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Saprospiraceae;Lewinella;uncultured bacterium	1e-137	14718
33	0	0	0	4	12	25	18	43	3	13	1	13	4	11	1	13	1	3	0	0	29	235	114	298	25	27	46	350	12	70	17	79	12	25	0	0	0	0	0	0	0	5	1	3	6	7	1	8	0	22	0	8	1	1	31	953	1	8	0	0	N	N	Bacteria	100	Proteobacteria	95	Gammaproteobacteria	90	Oceanospirillales	71	Oceanospirillaceae	43	Oleispira	21	Bacteria;Proteobacteria;Gammaproteobacteria;34P16;uncultured bacterium	3e-104	98567
34	5	1	126	41	1343	299	26	4	22	43	5	6	32	7	11	2	34	9	26	31	3	1	0	0	0	0	1	0	1	0	1	0	3	2	12	0	1	0	6	1	5	0	8	4	3	0	2	0	4	1	6	0	1	1	7	2	3	2	2	3	N	N	Bacteria	100	Proteobacteria	100	Gammaproteobacteria	100	Oceanospirillales	100	Halomonadaceae	100	Salinicola	90	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Salinicola;Halomonas sp. ny1-3	4e-140	24555
35	6	523	0	85	0	77	0	63	7	327	1	5	1	16	6	177	41	813	6	516	5	23	3	45	0	2	3	136	0	43	0	60	26	50	2	34	0	3	3	125	0	52	0	33	0	12	2	18	2	28	2	76	0	105	0	42	0	18	2	5	N	N	Archaea	77	Euryarchaeota	67	Archaeoglobi	28	Archaeoglobales	28	Archaeoglobaceae	28	Ferroglobus	28	Archaea;Thaumarchaeota;Marine Group I;uncultured marine group I crenarchaeote	1e-137	42822
36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	3	0	1	0	12	4	5	0	11	4	110	20	185	55	138	113	197	139	278	176	116	60	89	39	11	8	0	1	448	217	0	3	0	0	N	N	Bacteria	100	Proteobacteria	100	Gammaproteobacteria	100	Xanthomonadales	57	Sinobacteraceae	57	Singularimonas	57	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae;uncultured;uncultured bacterium	2e-123	88513
38	44	55	47	106	33	54	38	79	15	66	16	41	15	29	17	26	23	70	7	16	39	20	30	34	29	21	16	25	13	58	26	16	33	17	20	2	6	6	11	18	9	1	9	22	0	4	3	3	1	8	10	15	9	18	4	9	44	322	256	365	N	N	Bacteria	100	Proteobacteria	100	Gammaproteobacteria	100	Oceanospirillales	100	Oceanospirillaceae	100	Oleibacter	73	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Oceanobacter;uncultured gamma proteobacterium	4e-140	49245
40	162	46	78	73	153	43	152	174	74	55	130	51	83	95	297	40	133	60	36	6	74	41	342	32	135	15	196	45	106	33	112	54	171	18	193	80	92	57	79	56	130	61	71	55	116	68	294	50	223	34	97	49	30	103	59	56	122	139	57	94	N	N	Bacteria	100	Proteobacteria	54	Alphaproteobacteria	24	Rhodospirillales	14	Rhodospirillaceae	13	Rhodospira	2	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;S25-593;uncultured bacterium	1e-134	104934
41	0	0	0	0	0	0	0	0	1	0	39	18	12	10	9	7	6	4	21	21	2	0	10	3	2	0	13	1	0	0	67	3	59	11	26	12	37	22	71	62	126	129	173	204	217	265	99	81	37	11	14	6	1	0	17	9	4	4	1	1	N	N	Bacteria	100	Proteobacteria	100	Gammaproteobacteria	100	Gammaproteobacteria_incertae_sedis	100	Marinicella	100	Marinicella	100	Bacteria;Proteobacteria;Gammaproteobacteria;Order Incertae Sedis;Family Incertae Sedis;Marinicella;Marinicella litoralis	4e-140	55207
42	0	1	0	0	0	1	9	10	2	27	12	53	0	0	1	1	1	0	1	1	1	1	5	3	4	0	7	7	5	9	11	5	16	4	9	4	19	13	45	62	144	93	113	277	178	265	60	58	22	18	9	6	5	6	7	4	15	11	48	101	N	N	Bacteria	100	Proteobacteria	100	Gammaproteobacteria	100	Oceanospirillales	100	Alcanivoracaceae	100	Kangiella	100	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Kangiella;gamma proteobacterium WHOI JT-23	6e-136	46074
43	0	74	1	81	1	67	1	126	3	110	0	56	2	112	2	86	6	157	3	62	2	53	3	92	1	28	2	140	0	110	1	73	9	107	5	152	1	122	2	56	0	90	1	98	2	88	4	147	4	266	8	124	1	96	1	52	1	109	11	11	N	N	Bacteria	100	Firmicutes	41	Bacilli	13	Bacillales	12	Alicyclobacillaceae	8	Alicyclobacillaceae_incertae_sedis	8	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;SAR406 clade(Marine group A);uncultured SAR406 cluster bacterium HF4000_22B16	4e-140	78218
44	0	0	0	0	1	1	4	0	3	1	953	40	229	7	81	2	34	0	15	61	54	1	112	1	6	0	103	0	29	0	22	3	239	0	52	1	39	4	99	5	298	24	174	16	137	6	7	1	0	0	1	0	8	1	7	0	5	0	22	0	N	N	Bacteria	100	Proteobacteria	81	Alphaproteobacteria	27	Rhizobiales	5	Hyphomicrobiaceae	5	Prosthecomicrobium	5	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;GR-WP33-58;uncultured bacterium	4e-140	34869
45	4	1	25	20	194	364	33	32	135	743	24	37	24	24	10	12	21	12	7	17	21	29	12	7	6	4	6	13	1	16	9	11	1	9	13	16	14	38	36	70	30	66	17	52	31	51	9	12	3	4	11	29	0	11	11	47	14	27	38	53	N	N	Bacteria	100	Proteobacteria	100	Gammaproteobacteria	100	Alteromonadales	100	Idiomarinaceae	100	Idiomarina	100	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Idiomarinaceae;Idiomarina;Idiomarina seosinensis	4e-140	69963
46	4	150	2	84	1	96	4	121	2	71	0	84	5	78	5	96	7	169	0	57	0	44	0	99	5	34	3	109	1	69	2	60	16	81	4	191	3	96	2	42	2	84	0	66	3	54	3	149	4	146	9	106	0	131	3	87	7	115	42	15	N	N	Bacteria	98	Firmicutes	53	Clostridia	45	Halanaerobiales	21	Halanaerobiaceae	21	Halocella	19	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;SAR406 clade(Marine group A);uncultured bacterium	2e-133	53839
47	1	138	0	10	0	3	0	8	0	2	0	13	0	13	2	125	1	17	0	18	0	38	1	187	1	28	0	37	2	100	4	151	4	51	9	368	3	249	2	39	0	77	2	130	1	61	4	162	1	180	6	102	0	126	0	3	3	18	12	6	N	N	Archaea	98	Euryarchaeota	95	Methanomicrobia	47	Methanosarcinales	47	Methermicoccaceae	25	Methermicoccus	25	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;uncultured marine group II euryarchaeote DeepAnt-15E7	6e-133	8310
48	61	20	28	14	46	23	82	52	27	28	31	7	52	42	113	23	69	23	14	0	51	20	137	16	101	19	92	11	68	17	47	11	117	15	97	29	37	60	26	11	42	27	30	14	47	30	87	13	216	36	94	43	4	34	12	25	28	31	32	31	N	N	Bacteria	100	Proteobacteria	57	Alphaproteobacteria	35	Rhizobiales	15	Hyphomicrobiaceae	8	Zhangella	8	Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Deep 1;marine metagenome	4e-140	35967
49	0	45	0	39	1	65	2	113	0	14	0	125	1	87	3	102	1	10	0	5	0	47	1	75	4	54	1	63	3	97	0	46	0	11	7	93	4	316	2	37	0	71	0	77	2	81	2	139	1	124	7	125	1	168	0	31	4	96	11	11	N	N	Bacteria	98	Actinobacteria	22	Actinobacteria	22	Solirubrobacterales	19	Conexibacteraceae	19	Conexibacter	19	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;SAR406 clade(Marine group A);uncultured bacterium	4e-140	68405
50	3	1	0	2	4	3	21	37	5	30	60	56	8	21	13	15	13	29	4	3	34	12	6	4	8	4	20	12	41	39	29	27	37	31	50	18	16	45	44	68	36	22	48	64	45	74	28	28	10	5	4	2	85	87	2	13	13	16	28	24	N	N	Bacteria	100	Proteobacteria	100	Gammaproteobacteria	100	Alteromonadales	100	Alteromonadaceae	100	Marinobacter	100	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Marinobacter;Marinobacter algicola DG893	4e-140	23477
55	17	83	5	52	16	57	11	88	4	45	4	110	5	39	10	50	20	36	2	16	0	22	9	56	9	19	21	68	6	34	1	16	19	38	7	56	3	40	1	35	4	32	1	21	2	20	5	55	14	45	14	29	0	30	3	42	10	68	9	7	N	N	Bacteria	99	Aquificae	26	Aquificae	26	Aquificales	26	Hydrogenothermaceae	26	Venenivibrio	23	Bacteria;Chloroflexi;SAR202 clade;uncultured bacterium	4e-140	45906
56	0	0	0	0	0	0	0	0	0	0	33	2	17	1	176	0	38	1	4	3	15	1	51	9	23	2	85	1	20	0	26	1	65	0	133	3	13	0	3	0	47	4	23	1	20	0	11	0	487	5	35	5	29	1	14	0	11	1	1	1	N	N	Bacteria	100	Chlamydiae	100	Chlamydiae	100	Chlamydiales	100	Parachlamydiaceae	97	Parachlamydia	51	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae;Candidatus Protochlamydia;Parachlamydiaceae bacterium CRIB39	5e-109	22490
58	2	40	2	22	5	47	4	13	0	35	0	14	6	25	3	22	4	49	1	56	4	14	1	39	7	24	2	40	7	52	2	24	5	66	9	39	2	30	0	20	0	43	3	38	1	22	4	27	6	36	5	109	1	41	0	26	4	40	2	19	N	N	Bacteria	100	Proteobacteria	35	Deltaproteobacteria	6	Desulfobacterales	3	Desulfobacteraceae	3	Desulfosalsimonas	2	Bacteria;Gemmatimonadetes;Gemmatimonadetes;BD2-11 terrestrial group;uncultured bacterium	3e-119	52726
59	11	6	0	0	0	0	0	1	0	0	0	0	0	0	1	3	3	1	5	3	1	0	5	0	1	0	5	1	0	0	1	0	4	0	1	1	1	3	1	0	0	0	0	1	0	0	0	0	1	0	5	13	3	14	0	0	0	0	1	0	N	N	Bacteria	100	Proteobacteria	99	Gammaproteobacteria	97	Gammaproteobacteria_incertae_sedis	63	Thiohalophilus	17	Thiohalophilus	17	Bacteria;Proteobacteria;Gammaproteobacteria;E01-9C-26 marine group;uncultured gamma proteobacterium	4e-140	91172
60	37	69	13	40	14	46	16	70	12	32	11	37	6	57	38	46	42	44	2	11	11	19	37	22	18	13	16	53	29	32	13	28	24	13	44	101	19	68	4	35	19	31	13	38	6	34	28	40	21	52	17	65	8	80	6	48	25	46	24	29	N	N	Bacteria	100	Proteobacteria	95	Alphaproteobacteria	75	Caulobacterales	31	Hyphomonadaceae	31	Litorimonas	19	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;AEGEAN-169 marine group;uncultured marine bacterium	1e-137	51090
62	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	15	0	4	1	334	0	26	15	58	0	106	3	34	51	248	18	92	11	46	14	171	15	20	87	21	31	153	4	2	60	40	3	31	1	19	2	2	N	N	Bacteria	100	Proteobacteria	100	Gammaproteobacteria	100	Oceanospirillales	94	Alcanivoracaceae	90	Alcanivorax	90	Bacteria;Proteobacteria;Gammaproteobacteria;34P16;uncultured gamma proteobacterium	4e-140	80953
63	10	8	19	14	45	18	52	57	7	18	37	21	53	35	34	13	14	10	1	1	20	31	70	12	27	7	35	12	28	15	27	17	20	14	36	39	23	18	20	11	24	24	18	13	15	22	51	15	35	16	19	13	7	18	6	25	29	30	15	43	N	N	Bacteria	100	Proteobacteria	99	Alphaproteobacteria	95	Rhodospirillales	68	Rhodospirillaceae	57	Oceanibaculum	29	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;uncultured bacterium	3e-135	88906
66	10	4	4	10	23	17	12	4	14	16	19	10	28	27	60	21	47	16	14	14	32	19	35	11	9	2	113	17	25	9	15	7	79	6	15	5	10	7	12	28	18	8	11	7	11	8	4	6	20	8	7	3	0	1	1	4	21	10	13	20	N	N	Bacteria	100	Bacteroidetes	100	Flavobacteria	100	Flavobacteriales	100	Flavobacteriaceae	100	Leeuwenhoekiella	100	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Leeuwenhoekiella;uncultured bacterium	4e-140	2525
