OTU code	MP0144	MP0145	MP0261	MP0262	MP0326	MP0327	MP0371	MP0372	MP0440	MP0441	MP0555	MP0556	MP0626	MP0627	MP0739	MP0740	MP0758	MP0759	MP0900	MP0901	MP0959	MP0960	MP1091	MP1092	MP1140	MP1141	MP1201	MP1202	MP1241	MP1242	MP1373	MP1374	MP1434	MP1435	MP1482	MP1483	MP1493	MP1494	MP1604	MP1605	MP1648	MP1649	MP1787	MP1788	MP1896	MP1897	MP2015	MP2016	MP2052	MP2053	MP2158	MP2159	MP2252	MP2253	MP2497	MP2498	MP2633	MP2634	MP2913	MP2914	SILVA_Taxonomy
10	12379	7	2676	735	2298	158	73	41	11399	136	2155	72	2468	168	3292	58	456	31	144	4	70	7	30	2	0	0	28	1	5	0	5	0	1	9	21	0	10	0	1	3	6	3	17	0	107	5	3	5	2	0	12	4	2	0	1	0	4	2	11	0	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;uncultured prokaryote"
11	18	563	3	778	9	458	5	1071	10	401	2	289	13	364	19	1105	47	1911	6	426	14	267	30	342	2	56	11	687	13	1081	17	644	34	350	48	2219	12	724	5	394	4	278	15	811	1	407	7	336	10	559	69	586	2	1954	4	259	14	345	55	94	"Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;SAR406 clade(Marine group A);uncultured bacterium"
12	134	399	87	1084	166	847	100	2455	65	405	84	839	71	810	150	754	142	628	33	125	39	257	210	407	21	57	294	639	142	1188	69	376	68	255	112	1070	75	654	17	902	21	268	52	763	34	746	67	633	63	549	184	207	2	720	38	406	62	739	51	19	"Bacteria;Chloroflexi;SAR202 clade;uncultured bacterium"
13	129	227	28	124	50	98	14	68	63	409	0	4	36	53	180	825	550	3529	56	321	32	94	114	199	10	65	230	498	74	292	152	567	437	904	467	1154	175	442	22	307	19	105	70	285	8	67	17	62	39	135	643	385	25	1213	16	55	24	23	7	2	"Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Sva0996 marine group;uncultured bacterium"
14	93	41	88	155	1833	619	275	374	531	384	77	63	130	65	43	39	93	90	484	667	306	250	676	171	107	20	1328	152	1269	521	361	136	167	21	71	49	120	19	9	14	3	1	14	6	2	4	10	4	8	4	1360	260	116	1841	52	278	23	34	145	309	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. E505-11"
16	7	0	71	20	251	133	193	90	169	137	499	38	1414	68	461	95	236	66	1725	506	833	136	683	82	110	15	1663	48	514	163	1234	111	397	11	841	57	2069	72	898	179	295	36	1952	160	665	329	662	55	378	30	358	4	36	55	334	84	1428	43	353	111	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Marinovum;Marinovum algicola"
17	11	84	4	520	6	587	4	1404	16	285	4	468	7	664	14	977	29	944	3	91	8	320	15	224	4	103	7	542	15	1100	5	517	9	174	38	1096	12	864	2	670	0	241	8	647	3	496	4	370	7	389	62	355	2	998	0	262	18	368	107	73	"Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;SAR406 clade(Marine group A);uncultured bacterium"
18	287	180	1069	63	81	50	111	190	27	18	48	70	529	327	221	35	309	55	241	112	153	14	188	18	65	4	989	10	1099	31	261	32	206	2944	260	16	129	51	26	1	61	11	70	54	38	20	24	79	67	64	205	71	7	70	42	158	160	60	60	147	"Bacteria;Cyanobacteria;SubsectionIII;Microcoleus;Microcoleus chthonoplastes PCC 7420"
20	41	0	28	6	149	4	37	4	7778	16	647	4	429	16	572	9	369	4	106	8	42	3	53	0	2	0	39	0	10	0	7	0	3	0	15	0	5	0	3	1	14	8	93	0	5	0	12	2	121	4	550	3	6	2	76	10	13	0	18	0	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;Psychrobacter sp. ARCTIC-P41"
21	75	24	2592	1893	903	281	69	188	351	996	248	239	108	176	267	312	324	239	41	274	244	52	104	39	21	8	89	35	103	201	65	83	59	49	352	207	104	112	48	567	38	38	256	370	57	184	40	30	21	14	69	15	54	209	16	21	54	66	188	101	"Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Marinobacter;bacterium N159G.619"
22	4	0	21	0	313	4	11	1	153	0	23	1	34	0	100	0	106	1	130	5	116	5	196	1	64	1	527	1	281	13	119	10	109	4	406	9	530	7	71	9	280	6	1635	13	496	9	1058	7	1429	25	5263	29	103	31	234	10	477	10	107	3	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;uncultured gamma proteobacterium"
24	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	4	0	3	1	39	2	26	6	7	7	189	45	54	51	281	142	135	9	3026	19	942	11	741	8	799	6	1273	10	485	2	227	0	616	0	424	0	93	8	774	34	74	9	160	3	"Bacteria;Cyanobacteria;SHA-109;uncultured bacterium"
25	9	647	1	183	0	58	2	212	9	246	0	21	5	84	10	979	108	1814	7	362	1	61	5	281	2	62	9	465	4	270	4	347	33	231	4	938	8	522	1	392	2	68	6	461	0	50	1	121	5	256	160	294	2	1835	1	60	1	38	2	1	"Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;uncultured euryarchaeote"
26	11	0	0	0	2	0	0	0	0	0	4	2	7	0	15	2	124	0	28	0	47	0	37	1	6	0	70	2	19	7	127	2	26	5	171	20	770	0	153	70	318	44	1082	133	202	147	256	81	258	114	3058	44	65	220	1106	68	512	11	191	3	"Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;uncultured;uncultured bacterium"
27	16	66	1	12	1	12	1	31	10	61	1	3	1	23	44	277	27	193	3	27	1	12	15	35	14	40	8	64	6	119	13	154	17	59	33	337	19	282	2	58	2	56	14	124	2	30	4	22	12	50	97	157	10	808	0	8	0	6	3	5	"Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;ZD0405;uncultured bacterium"
28	121	99	85	294	148	367	117	885	73	139	67	371	85	359	166	322	128	215	45	15	54	146	230	154	53	40	313	241	181	473	83	164	62	97	147	407	88	323	19	328	16	109	56	329	24	376	78	319	69	210	223	33	4	275	29	161	94	307	279	8	"Bacteria;Chloroflexi;SAR202 clade;uncultured Chloroflexi bacterium"
29	0	0	0	0	0	0	0	0	2	0	52	2	13	0	10	1	165	7	62	8	337	10	231	31	498	203	1895	111	265	60	999	35	324	28	618	9	261	0	62	1	235	0	407	5	106	4	29	0	3	0	10	1	7	0	7	1	6	2	0	0	"Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Saprospiraceae;Lewinella;uncultured bacterium"
33	1	0	1	21	66	127	20	219	6	23	3	32	6	45	4	29	11	26	0	1	66	619	315	440	25	40	192	744	46	473	42	268	17	35	0	1	0	5	0	15	0	7	1	21	6	22	1	15	0	38	0	18	1	4	52	1596	1	17	0	0	"Bacteria;Proteobacteria;Gammaproteobacteria;34P16;uncultured bacterium"
34	10	1	389	120	5515	1080	33	27	104	96	19	13	78	43	53	7	93	22	81	101	14	5	8	0	0	0	10	1	11	1	1	0	5	5	47	1	8	1	7	7	7	0	25	12	4	3	3	0	6	1	21	1	1	2	8	3	6	3	7	5	"Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Salinicola;Halomonas sp. ny1-3"
35	23	728	0	316	5	270	0	336	16	764	2	15	3	78	24	706	127	3291	14	1558	9	62	7	74	0	3	16	322	1	213	1	206	45	79	4	125	2	14	4	625	0	67	1	118	0	39	3	33	2	39	13	110	0	479	0	75	0	28	5	10	"Archaea;Thaumarchaeota;Marine Group I;uncultured marine group I crenarchaeote"
36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	9	0	2	0	30	14	8	0	44	15	494	105	217	291	159	146	841	546	326	677	173	102	115	52	50	10	0	3	661	367	0	4	0	0	"Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae;uncultured;uncultured bacterium"
38	116	78	130	380	134	222	48	431	59	157	31	105	37	102	62	93	56	252	29	57	90	52	96	54	29	32	78	44	48	286	81	53	44	30	48	10	30	24	12	94	9	1	53	88	0	20	6	10	3	9	60	28	16	123	5	16	70	564	781	771	"Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Oceanobacter;uncultured gamma proteobacterium"
40	524	61	236	236	655	141	181	922	236	130	314	124	271	318	1359	169	367	256	114	28	247	124	977	52	135	22	755	104	357	194	331	162	269	23	692	423	375	205	96	204	145	81	327	257	134	285	402	81	283	46	478	78	35	429	85	99	182	244	170	193	"Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;S25-593;uncultured bacterium"
41	0	0	1	0	0	1	0	0	1	1	83	49	43	33	34	20	19	13	96	59	11	0	22	3	2	0	39	4	2	9	226	18	94	15	88	54	170	99	79	312	147	174	691	933	250	957	145	123	47	12	47	6	3	4	25	18	5	8	2	3	"Bacteria;Proteobacteria;Gammaproteobacteria;Order Incertae Sedis;Family Incertae Sedis;Marinicella;Marinicella litoralis"
42	0	1	1	2	2	6	9	53	9	55	20	156	2	3	6	8	1	1	1	3	2	1	10	4	4	1	35	21	13	40	42	14	25	4	29	9	53	56	51	250	167	133	513	1313	207	974	78	93	28	28	37	10	6	18	7	10	29	14	163	225	"Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Kangiella;gamma proteobacterium WHOI JT-23"
43	6	111	3	278	5	280	1	631	14	236	0	134	5	285	5	344	17	794	6	239	3	147	8	151	1	42	8	298	0	535	8	277	11	174	19	771	11	480	2	253	1	129	9	394	2	314	6	239	5	372	47	199	2	452	3	99	2	168	31	29	"Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;SAR406 clade(Marine group A);uncultured SAR406 cluster bacterium HF4000_22B16"
44	0	0	0	0	1	1	6	0	16	1	2170	100	729	13	306	9	94	0	62	210	126	1	291	4	6	0	365	4	102	6	62	3	355	0	159	4	177	10	107	25	345	30	749	91	158	33	9	1	0	0	3	0	9	1	10	0	6	2	72	0	"Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;GR-WP33-58;uncultured bacterium"
45	8	3	48	94	823	1324	39	150	514	1698	62	75	81	102	56	38	48	73	21	66	51	65	23	12	6	6	38	31	3	84	33	54	2	13	40	103	76	164	38	359	31	98	121	242	35	203	11	20	3	9	48	54	2	36	16	88	16	39	120	117	"Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Idiomarinaceae;Idiomarina;Idiomarina seosinensis"
46	13	203	5	323	1	309	5	640	4	170	0	234	6	256	9	370	27	672	2	190	2	88	4	161	5	44	5	256	5	393	7	230	24	133	12	950	9	386	2	186	2	119	4	276	3	233	3	224	4	224	47	172	0	633	6	132	10	195	107	28	"Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;SAR406 clade(Marine group A);uncultured bacterium"
47	2	193	0	27	1	27	0	57	0	3	0	31	1	36	3	470	3	72	1	67	2	95	6	280	1	38	2	94	2	498	8	523	5	76	24	1739	19	906	3	174	0	112	5	723	1	230	5	260	1	256	39	142	0	529	1	3	4	25	25	8	"Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;uncultured marine group II euryarchaeote DeepAnt-15E7"
48	184	34	80	44	194	64	96	246	81	61	56	12	141	181	452	69	199	110	42	2	149	56	367	19	101	37	400	36	190	95	162	40	165	28	319	145	226	191	28	62	49	36	101	74	61	109	110	30	255	52	442	64	7	147	20	37	40	44	107	68	"Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Deep 1;marine metagenome"
49	2	62	0	145	2	204	2	516	0	34	0	362	2	358	6	371	3	56	0	17	4	128	5	114	4	90	7	130	8	509	0	176	1	19	14	398	20	1307	2	149	0	104	4	367	2	288	3	235	1	178	28	190	1	927	0	53	6	174	56	35	"Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;SAR406 clade(Marine group A);uncultured bacterium"
50	9	4	5	8	9	9	23	144	27	64	129	184	20	73	56	62	62	84	15	15	98	26	27	8	8	6	84	20	127	256	104	78	51	50	147	75	76	190	47	313	37	28	194	249	53	281	41	45	10	8	20	5	109	408	5	20	16	27	113	67	"Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Marinobacter;Marinobacter algicola DG893"
55	56	128	12	176	46	196	14	398	17	96	11	270	22	154	39	215	41	157	9	52	6	50	42	88	9	28	75	145	34	179	8	54	25	54	18	225	25	186	2	172	4	46	14	100	3	68	7	82	18	63	49	40	0	187	7	69	13	118	25	15	"Bacteria;Chloroflexi;SAR202 clade;uncultured bacterium"
56	0	0	0	0	1	0	0	0	3	0	72	4	47	3	689	3	86	3	18	6	54	3	139	11	23	3	356	2	70	2	90	3	98	0	470	8	69	0	3	2	52	9	89	2	22	0	15	0	642	6	182	7	35	6	26	0	13	1	2	2	"Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae;Candidatus Protochlamydia;Parachlamydiaceae bacterium CRIB39"
58	9	65	8	84	18	141	4	72	1	69	2	33	14	92	10	96	13	249	8	168	7	42	9	71	7	35	21	83	21	262	7	106	5	100	29	164	10	124	1	89	0	62	8	146	1	82	5	42	7	54	35	164	1	258	0	38	4	49	13	40	"Bacteria;Gemmatimonadetes;Gemmatimonadetes;BD2-11 terrestrial group;uncultured bacterium"
59	21	9	1	2	0	0	0	2	0	0	0	1	2	0	3	6	14	9	15	6	5	1	11	2	1	0	10	2	2	1	2	2	9	0	7	7	8	7	1	0	0	0	2	2	0	1	0	0	1	0	33	18	3	50	0	0	0	0	1	1	"Bacteria;Proteobacteria;Gammaproteobacteria;E01-9C-26 marine group;uncultured gamma proteobacterium"
60	99	84	38	159	61	149	21	356	36	77	22	105	20	155	171	196	96	185	14	27	32	55	122	35	18	23	62	92	83	199	43	114	41	28	123	409	58	252	6	131	20	48	41	168	10	145	38	77	28	79	111	101	10	410	8	81	29	74	100	69	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;AEGEAN-169 marine group;uncultured marine bacterium"
62	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0	21	0	5	4	730	1	154	40	171	2	179	12	163	225	973	22	505	12	70	88	789	17	62	115	38	39	225	23	4	69	138	6	52	2	32	3	2	"Bacteria;Proteobacteria;Gammaproteobacteria;34P16;uncultured gamma proteobacterium"
63	33	9	48	69	171	67	64	274	28	30	81	54	159	129	125	39	44	48	9	2	61	67	195	22	27	16	128	36	83	88	98	40	32	18	141	146	99	95	26	68	29	30	45	57	17	64	67	24	44	25	84	17	9	98	12	40	45	66	53	87	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;uncultured bacterium"
66	40	6	21	31	91	40	14	33	47	43	38	23	73	74	229	64	133	95	55	39	85	56	99	16	9	5	410	31	71	47	37	25	109	9	62	31	42	33	15	139	19	13	41	48	14	28	8	9	26	11	20	3	1	5	5	10	32	18	41	45	"Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Leeuwenhoekiella;uncultured bacterium"
67	3	2	8	1	11	3	9	11	0	3	4	2	14	8	3	1	6	4	61	32	32	6	34	6	27	10	148	30	105	130	350	103	77	38	148	58	370	152	359	480	79	200	211	487	135	920	283	115	85	100	141	29	39	161	62	97	41	39	19	32	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Maritimibacter;Maritimibacter alkaliphilus HTCC2654"
68	37	31	0	3	7	9	1	6	1	2	3	0	11	1	3	0	1	4	3	2	3	1	0	0	0	0	2	1	3	1	5	9	0	0	15	9	55	13	2	7	7	5	14	24	0	1	2	4	3	12	104	25	2	9	1882	529	10	12	5	3	"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;unidentified"
69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	4	0	125	1	138	1	97	0	1183	0	233	2	88	6	63	0	28	0	11	0	1	0	3	1	68	10	2	0	0	0	8	0	71	0	29	3	25	42	251	9	71	2	"Bacteria;Cyanobacteria;ML635J-21;Azospirillum sp. enrichment culture clone yan50"
70	0	0	1	0	0	0	0	0	0	0	0	0	9	1	12	3	63	69	100	8	26	4	15	0	4	0	168	4	10	8	40	7	33	12	28	9	130	23	94	23	24	21	57	47	58	119	140	28	58	18	152	8	102	293	150	48	452	89	14	21	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Ahrensia;Ahrensia kielensis"
72	0	0	0	0	0	0	0	0	0	0	53	169	36	129	68	89	23	34	5	6	75	274	52	38	5	4	83	17	20	33	37	109	15	5	16	18	58	108	20	197	9	35	30	62	12	103	9	12	8	6	18	11	0	2	0	0	6	5	19	12	"Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Croceibacter;Croceibacter atlanticus HTCC2559"
73	0	25	0	46	0	66	0	126	0	30	0	37	0	104	7	134	7	78	5	22	2	49	4	40	1	14	0	67	6	200	7	63	1	27	9	174	2	232	1	66	0	47	1	104	0	131	1	93	2	74	17	44	0	141	0	14	2	40	49	2	"Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;SAR406 clade(Marine group A);uncultured bacterium"
74	82	4	34	4	81	5	62	19	20	1	64	6	322	29	263	17	39	1	27	3	166	2	122	3	31	0	91	1	110	15	85	7	36	13	141	23	57	12	7	9	21	2	54	9	17	8	34	6	24	6	38	1	1	4	4	0	57	11	54	3	"Bacteria;Planctomycetes;Pla3 lineage;uncultured bacterium"
75	0	0	1	0	67	32	40	2	97	2	195	4	101	1	185	1	87	2	3	0	93	2	105	2	33	0	205	0	56	0	189	0	61	0	142	0	45	0	16	3	81	12	149	1	24	0	128	1	188	0	141	8	5	1	7	0	45	1	82	2	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;uncultured bacterium"
77	56	24	229	730	268	422	70	99	162	379	8	7	18	24	57	99	76	48	33	30	27	7	9	4	2	2	35	11	8	16	4	0	7	0	31	6	16	4	17	34	7	3	33	28	7	35	2	2	6	5	14	0	1	3	5	1	9	10	18	2	"Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Mesonia;Mesonia sp. MOLA 383"
79	0	0	6	0	0	0	4	0	8	0	16	0	34	3	62	1	78	9	212	6	59	7	109	4	28	2	153	0	347	31	144	17	25	10	105	4	282	8	41	17	23	5	109	2	58	26	15	2	18	3	26	0	4	7	21	4	75	14	13	0	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Aurantimonadaceae;Fulvimarina;Rhizobiales bacterium 8.047"
80	27	54	35	221	55	175	23	395	21	47	15	66	29	171	53	174	39	148	10	80	6	26	62	80	3	7	46	98	59	243	16	170	14	24	52	329	8	94	0	88	9	50	30	187	7	182	26	140	30	168	55	80	0	14	4	47	31	106	14	90	"Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;SAR86 clade;uncultured SAR156 cluster gamma proteobacterium"
82	0	0	0	5	11	15	8	28	5	16	3	23	5	12	4	4	1	8	2	9	478	547	845	40	11	1	31	17	27	64	12	82	3	0	17	19	33	43	1	11	4	2	8	9	3	15	2	5	1	1	6	8	0	23	0	3	0	0	23	73	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Thalassospira;uncultured organism"
86	58	17	28	13	416	134	111	29	307	271	116	44	236	219	317	200	175	271	16	5	21	9	9	2	0	0	31	2	6	7	5	1	5	0	12	1	8	4	2	2	0	2	3	0	5	17	9	0	2	0	28	4	0	2	3	2	4	0	0	0	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. ws15"
87	1	13	2	18	1	12	0	73	2	4	0	9	0	1	3	6	3	1	1	8	1	14	0	5	145	2176	5	17	4	40	4	8	3	13	12	293	3	11	0	15	1	4	3	23	1	7	3	16	3	10	46	5	2	43	0	8	1	27	7	34	"Bacteria;Cyanobacteria;SubsectionI;Prochlorococcus;uncultured bacterium"
88	0	0	3	0	4	4	0	0	0	0	0	1	5	0	18	6	36	85	4	1	2	2	1	1	0	0	15	2	4	2	12	43	7	0	30	50	49	15	25	48	10	21	32	67	10	26	17	11	17	14	77	45	7	96	375	310	53	32	10	34	"Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;Brevundimonas bullata"
90	3	74	1	70	0	78	1	208	0	41	0	45	0	103	3	135	7	118	7	118	1	68	1	61	1	20	1	83	4	264	6	100	4	40	6	302	3	187	1	92	0	64	5	194	0	142	1	103	0	123	7	51	0	229	1	41	2	58	29	13	"Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;SAR406 clade(Marine group A);uncultured bacterium"
91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	69	9	89	133	1202	5	129	2	4	0	0	0	5	0	0	1	2	4	15	0	3	"Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Dasania;bacterium SCSWE24"
92	19	18	8	21	48	60	23	58	20	20	65	76	117	110	31	58	25	39	3	10	19	32	4	4	0	3	9	16	10	10	17	19	3	9	34	37	47	22	62	115	12	32	66	138	14	66	10	15	1	9	5	4	0	4	9	10	11	4	42	90	"Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Alcanivorax;Alcanivorax sp. I2"
93	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	173	1577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Sulfurimonas;uncultured epsilon proteobacterium"
94	2	2	106	32	125	29	100	108	82	90	213	39	200	41	147	37	157	52	115	43	125	41	70	11	45	26	306	8	109	115	131	60	33	46	136	34	207	36	67	103	23	37	208	77	123	96	126	2	72	5	206	3	85	25	144	27	36	7	137	92	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Loktanella;uncultured marine bacterium"
95	0	0	0	2	28	8	2	0	7	1	48	11	90	29	30	13	56	30	20	7	17	16	12	7	5	0	410	144	10	2	11	8	0	0	15	3	22	14	52	33	4	13	27	20	22	30	84	35	41	29	73	6	5	40	23	26	71	16	5	16	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;uncultured;Paracoccus sp. M71_W14"
